State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,severity,hour,month,day_enc,road_type_enc,weather_enc,road_cond_enc,lighting_enc,alcohol,num_vehicles,num_casualties,junction_enc,cause_enc,risk_score,latitude,longitude,highway,state_region
Jammu and Kashmir,Unknown,2021,May,Monday,1:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,,Yes,Curve,2,1,5,0,0,2,3,0,1,5,0,0,0,5.45,21.23048,72.84781,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,,Yes,Straight Road,1,21,1,2,2,2,1,3,1,5,5,0,0,6.36,25.365,78.56129,NH44_Agra_Nagpur,Madhya Pradesh
Chhattisgarh,Unknown,2023,May,Wednesday,5:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,,No,Bridge,1,5,5,2,0,1,2,1,0,5,6,0,0,6.97,12.90513,79.80888,NH44_Bangalore_Chennai,Tamil Nadu
Uttar Pradesh,Lucknow,2020,June,Saturday,0:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,1,0,6,5,1,3,1,0,1,3,10,0,0,8.79,9.9374,77.38611,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Sikkim,Unknown,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,,No,Intersection,1,11,8,3,2,1,3,3,0,5,7,0,0,3.64,25.30759,83.01047,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Meghalaya,Unknown,2020,November,Tuesday,8:4,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,2,8,11,1,3,4,1,2,1,1,6,0,0,5.45,28.61747,77.19498,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Sikkim,Unknown,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,,No,Straight Road,3,18,10,0,2,1,2,3,0,2,9,0,0,9.09,27.80429,77.44985,NH44_Delhi_Agra,Uttar Pradesh
Himachal Pradesh,Unknown,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,1,11,12,2,1,0,0,0,0,3,1,0,0,5.45,24.21754,84.30165,NH30_Patna_Visakhapatnam,Chhattisgarh
Rajasthan,Jodhpur,2021,July,Saturday,8:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,3,8,7,5,2,0,0,1,0,3,7,0,0,4.85,26.24906,81.40987,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Rajasthan,Jodhpur,2018,August,Saturday,2:1,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,,Yes,Straight Road,3,2,8,5,1,1,2,0,1,2,3,0,0,5.15,27.88491,77.46486,NH44_Delhi_Agra,Uttar Pradesh
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,Straight Road,1,22,4,3,0,2,1,3,0,5,1,0,0,3.64,28.25979,77.00362,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,Curve,3,16,8,1,0,0,3,3,0,3,1,0,0,5.76,27.72665,77.51627,NH44_Delhi_Agra,Uttar Pradesh
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,Straight Road,2,23,9,5,3,2,2,2,0,1,2,0,0,4.55,19.67675,73.20764,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Bihar,Unknown,2020,June,Wednesday,6:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,2,6,6,2,1,1,3,3,0,5,0,0,0,1.21,27.24348,82.39038,NH27_East_West,Rajasthan / MP / UP
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,2,18,8,4,0,1,3,1,0,3,6,0,0,5.76,29.71553,78.28928,NH58_Delhi_Badrinath,Uttarakhand
Arunachal Pradesh,Unknown,2018,August,Friday,12:6,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,1,12,8,4,1,4,2,3,0,4,4,0,0,6.36,26.08739,91.69344,NH52_Barasat_Guwahati,West Bengal / Assam
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,1,12,10,6,3,3,0,0,0,2,7,0,0,6.36,27.06023,78.15762,NH44_Delhi_Agra,Uttar Pradesh
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,3,18,10,3,3,2,3,0,0,5,10,0,0,6.67,25.76895,79.42533,NH27_East_West,Rajasthan / MP / UP
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,2,10,11,2,0,3,2,1,1,3,7,0,0,4.85,26.81648,80.88714,NH27_East_West,Rajasthan / MP / UP
Chhattisgarh,Unknown,2022,April,Saturday,6:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,3,6,4,5,1,1,3,2,1,3,7,0,0,9.09,32.31811,74.90282,NH44_North,Jammu & Kashmir
