location_query,latitude,longitude
"Jammu and Kashmir, India",33.6649297,75.1629584
"Lucknow, Uttar Pradesh, India",26.8381,80.9346001
"Chhattisgarh, India",21.6637359,81.8406351
"Sikkim, India",27.6016108,88.4550204
"Meghalaya, India",25.5379432,91.2999102
"Himachal Pradesh, India",31.9292352,77.1828462
"Jodhpur, Rajasthan, India",26.2967719,73.0351433
"Kanpur, Uttar Pradesh, India",26.4609135,80.3217588
"Assam, India",26.4073841,93.2551303
"Bihar, India",25.6440845,85.906508
"Telangana, India",17.8495919,79.1151663
"Arunachal Pradesh, India",28.0937702,94.5921326
"Tirupati, Andhra Pradesh, India",13.6316368,79.4231711
"Bangalore, Karnataka, India",12.9767936,77.590082
"Madhya Pradesh, India",23.8143419,77.5340719
"Puducherry, India",10.9156489,79.8069488
"Varanasi, Uttar Pradesh, India",25.3356491,83.0076292
"Nagpur, Maharashtra, India",21.1498134,79.0820556
"Madurai, Tamil Nadu, India",9.9261153,78.1140983
"Chandigarh, India",30.7334421,76.7797143
"Surat, Gujarat, India",21.2094892,72.8317058
"Mumbai, Maharashtra, India",19.054999,72.8692035
"Odisha, India",20.5431241,84.6897321
"Durgapur, West Bengal, India",23.5350475,87.3380425
"Kerala, India",10.3528744,76.5120396
"Nagaland, India",26.1630556,94.5884911
"Kolkata, West Bengal, India",22.5726459,88.3638953
"Tripura, India",23.7750823,91.7025091
"Ahmedabad, Gujarat, India",23.0215374,72.5800568
"Uttarakhand, India",30.0417376,79.089691
"Mangalore, Karnataka, India",12.8698101,74.8430082
"Siliguri, West Bengal, India",26.7164127,88.4309916
"Haryana, India",29.0,76.0
"Vijayawada, Andhra Pradesh, India",16.5115306,80.6160469
"Goa, India",15.3004543,74.0855134
"Mizoram, India",23.2146169,92.8687612
"Vadodara, Gujarat, India",22.2973142,73.1942567
"Mysore, Karnataka, India",12.3051828,76.6553609
"Dwarka, Delhi, India",28.6149362,77.0227628
"Jharkhand, India",23.4559809,85.2557301
"Punjab, India",30.9293211,75.5004841
"Manipur, India",24.7208818,93.9229386
"Chennai, Tamil Nadu, India",13.0836939,80.270186
"Rohini, Delhi, India",28.7162092,77.1170743
"Visakhapatnam, Andhra Pradesh, India",17.6935526,83.2921297
"New Delhi, Delhi, India",28.6138954,77.2090057
"Udaipur, Rajasthan, India",24.578721,73.6862571
"Coimbatore, Tamil Nadu, India",11.0018115,76.9628425
"Pune, Maharashtra, India",18.5213738,73.8545071
"Jaipur, Rajasthan, India",26.9154576,75.8189817
